CAR_MODEL,YEAR,ENGINE_RPM,VEHICLE_SPEED,ENGINE_LOAD,COOLANT_TEMP,MAF_GRAMS_SEC,SHORT_TERM_TRIM,LONG_TERM_TRIM,THROTTLE_POS,TROUBLE_CODES
Hyundai Alcazar,2018,2100,42,91.4,94.4,48.57,0.58,0.05,16.6,P2463
Mercedes-Benz GLC,2020,2100,42,80.1,90.8,56.59,1.86,1.46,23.9,P2463
Maruti Suzuki Vitara Brezza,2024,2653.2,101.2,33.2,92.2,47.51,1.85,-0.41,21.6,None
Maruti Suzuki Baleno,2020,2829,109.1,63.4,90.3,55.07,5.5,0.07,18,P0300
Nissan Magnite,2023,843.6,35.1,84.4,89.3,15.08,-1.2,-1.2,13.2,P2463
Tata Safari,2016,1076.8,34.5,50.4,122.5,19.32,1.23,-0.55,31.5,P0117
Maruti Suzuki Celerio,2024,2302.3,80.8,48,123.8,41.71,0.84,-1.11,30.6,P0117
Hyundai Verna,2020,1264.4,42,89.3,90.4,22.77,0.54,1.24,14.4,P2463
Volkswagen Virtus,2023,1192.7,38.7,89.2,94.8,21.41,0.53,-1.83,15.8,P2463
Tata Harrier,2017,3140.9,123.9,50.3,93.1,12.65,0.86,1.02,29.5,P0101
Kia Seltos,2024,1463.9,55.5,50.6,139.2,25.99,-0.8,0.04,28.9,P0117
Hyundai i20,2017,974.8,23.6,80.8,88.5,14.59,-3.45,-0.4,33.1,P0300
Kia Sonet,2018,2100,42,92.3,95,60.87,0.99,0.15,21.4,P2463
Honda Amaze,2016,2333.5,94.9,18.1,117.4,42.49,0.62,1.8,17.1,P0117
Mahindra Scorpio-N,2017,832.9,24.3,93.1,88.9,14.72,0.41,0.83,23.8,P2463
Ford Endeavour,2020,2111,76.8,35.6,89.3,8.39,1.99,1.38,24.8,P0101
Volkswagen Taigun,2018,1262.5,54.1,50.5,94,5,-1.12,-1.91,29.4,P0101
Tata Altroz,2020,2100,42,82.5,93.1,62.66,0.37,0.68,15.9,P2463
Mahindra Bolero,2023,1867.5,64.7,21.4,88.5,7.4,-0.74,1.22,18.8,P0101
Nissan Magnite,2022,1492.4,64.2,46.2,132.6,27.18,-1.79,1.13,26.6,P0117
Hyundai Tucson,2018,3006.6,111.5,53.6,128.8,53.87,-1.92,0.95,30.4,P0117
Maruti Suzuki Vitara Brezza,2019,2881.5,111.1,29.9,92.5,11.47,0.43,-1.25,23.4,P0101
Hyundai Tucson,2016,1394.8,42,89.9,93.4,24.91,-0.95,-1.96,28.8,P2463
Kia Carens,2015,816.6,28.7,23.4,126.8,14.43,-1.43,0.15,16.4,P0117
Tata Punch,2020,3461.6,131.5,52.4,94.9,13.85,1.59,-0.14,31.7,P0101
Renault Kwid,2019,2339.5,88.8,33.3,114.9,42.6,-0.28,1.09,21.5,P0117
Maruti Suzuki Dzire,2017,962.3,39.6,27,93.1,3.84,-1.11,0.99,19.4,P0101
Tata Sierra,2020,2586.7,100.7,27.4,122.1,46.75,-1.27,-1.04,18,P0117
Skoda Kushaq,2016,2677.4,103.8,40.5,89.4,10.73,0.83,-1.75,27.2,P0101
Mahindra Marazzo,2022,865.8,35.5,44.9,90.2,3.52,-1.69,-0.7,26.3,P0101
Tata Punch,2015,3254.4,126.9,25.5,95.2,58.27,16.82,16.37,17.8,P0171
Toyota Innova Hycross,2016,2100,42,92,91,39.59,-0.43,-1.52,18.1,P2463
Honda City,2023,3408.6,122.7,41.7,91.2,61.34,22.59,13.34,27.1,P0171
Tata Punch,2018,3303.6,132.5,19.6,90.8,13.17,0.77,0.48,17.5,P0101
Volkswagen Virtus,2016,772.2,28.8,33.8,92.5,13.81,22.72,21.62,22.1,P0171
Mahindra XUV700,2023,932.6,28.7,26.8,95,16.29,0.63,-0.62,17.6,None
Maruti Suzuki Dzire,2022,2100,42,84.4,91.4,62.92,1.63,0.86,24.5,P2463
Tata Punch,2020,3393.7,131.2,31.3,89,61.52,17.68,17.17,24,P0171
Mahindra XUV300,2018,1001.1,36.5,76.4,94.9,16.57,3.04,-0.22,31.5,P0300
Renault Kwid,2023,2100,42,94.5,88.9,56.52,-1.91,-1.78,25.4,P2463
Honda Amaze,2018,2984.9,108.8,31.3,95.6,11.99,0.53,-0.96,23,P0101
Tata Sierra,2021,2317.3,81.3,42.6,127.8,42.13,1.7,-1.1,27.2,P0117
Hyundai Venue,2016,2396.4,85.1,41.7,90.5,42.81,1.46,0.02,24.7,None
Hyundai Creta,2018,1321.6,43.8,61,94.1,19.62,2.88,1.57,28.6,P0300
Maruti Suzuki Swift,2015,2145,85.9,31.7,136.7,39.01,-0.59,-0.16,19.4,P0117
Mercedes-Benz GLC,2017,2020.3,82.6,36.3,95.2,36.52,-1.66,0.9,24.6,None
Hyundai Verna,2022,2100,42,86.6,89.1,39.04,-0.9,-0.77,29.5,P2463
Toyota Innova Hycross,2021,1615.9,68.5,41.2,95.6,28.91,-0.68,-1.16,27.4,None
Kia Seltos,2024,1628.1,64.8,21.1,89.6,29.64,18.05,19.24,15.1,P0171
Hyundai Tucson,2018,1277,44,25.7,92.4,22.91,0.31,0.97,17.7,None
Mahindra Bolero,2022,1051.4,46.2,21.7,91.3,18.57,18.8,15.39,16.1,P0171
Toyota Innova Hycross,2015,2599.8,100.1,23.4,126.5,46.82,0.95,-1.06,19.1,P0117
Maruti Suzuki Swift,2016,2864.9,111.6,52.5,93,11.44,0.52,-0.25,32,P0101
Honda City,2024,3005,113.6,54.9,93.5,53.83,26.67,14.99,34.6,P0171
Hyundai Tucson,2016,1802,70.8,25.9,88.2,31.97,15.3,17.51,20.6,P0171
Maruti Suzuki Vitara Brezza,2017,3063.7,118.2,37.9,92.1,54.81,25.03,13.72,22.8,P0171
Maruti Suzuki Celerio,2019,3211.5,115.5,38.3,94.9,12.88,0.47,-0.48,26.8,P0101
Audi Q5,2020,997.4,43.8,20.3,95.4,3.98,-1.52,0.28,14.3,P0101
Tata Harrier,2024,3013.1,120.8,17.3,95.2,54.42,16.5,17.88,12.9,P0171
Mahindra XUV700,2017,2831.1,100.5,27.2,88.9,51.31,24.08,15.75,20.2,P0171
Maruti Suzuki Alto,2024,2854.6,106.9,17.8,90.7,50.91,19.01,21.03,14.7,P0171
Mahindra XUV700,2018,829.2,34.8,94.1,95.5,14.65,-1.97,-0.89,23.9,P2463
Hyundai Verna,2016,2360.7,87.2,36.6,122.8,42.44,1.09,-0.14,23,P0117
Kia Sonet,2020,878.7,28.9,34.8,91.6,16.14,-0.19,-0.85,24.6,None
Mahindra XUV700,2020,2999.9,109.4,53.4,90.6,11.97,0.08,1.79,30.8,P0101
Ford EcoSport,2024,2853,99.3,83.2,94.9,46,-1.1,-0.79,21.5,P0300
Toyota Glanza,2019,1216.6,40.1,46.5,88.9,4.85,-0.48,0.84,29.4,P0101
Ford Endeavour,2021,3005.2,116.5,25.6,88.4,54.04,24.55,18.22,21.5,P0171
Maruti Suzuki Baleno,2016,1108.2,40.3,45.8,88.3,20.26,-0.24,-1.93,30.7,None
Hyundai i20,2022,2741.7,109.4,48.2,123.5,49.54,0.92,-0.43,30.3,P0117
Tata Punch,2021,1975.9,82,40.4,113.6,35.48,1.58,0.6,24.7,P0117
Jeep Compass,2022,1273.1,44.9,26.4,94.9,22.97,24.23,13.42,21.5,P0171
Toyota Glanza,2021,2377.5,93.5,43.4,91.3,43,1.92,-1.59,29.2,None
Hyundai Tucson,2016,1894.9,75.5,40.5,91.3,7.53,-0.01,-1.99,27.2,P0101
Tata Altroz,2017,923.2,28.1,19.8,122.6,16.49,-0.15,0.07,17.5,P0117
Hyundai Venue,2018,2520.9,99.9,54.3,93.7,10.16,1.96,-0.23,31.1,P0101
Tata Altroz,2022,1948.8,79,26.1,95.4,35.01,-0.71,0.38,19.3,None
Nissan Magnite,2017,1401.9,51.9,22.4,89.9,24.88,-1.02,-1.33,17,None
Hyundai Creta,2020,1710,67.5,44.1,92,30.62,1.98,1.39,28.2,None
Tata Tiago,2017,3206.6,122.4,44.7,133.4,57.96,1.32,-0.27,26,P0117
Jeep Compass,2024,2466.2,98.1,26.9,136.7,43.96,1.76,-1.07,18.2,P0117
Skoda Slavia,2022,1169.4,34.2,71.1,88.8,18.49,-4.45,-0.69,32.3,P0300
Kia Carens,2015,3088.8,125,19,89.7,55.84,16.2,15.37,16.7,P0171
Kia Carens,2023,2792.4,109.8,47.4,92.8,50.73,21.21,14.05,28.2,P0171
Ford Endeavour,2022,3236.9,125.6,23.4,89.3,13.04,-1.13,-0.14,19.1,P0101
Maruti Suzuki Vitara Brezza,2023,2811.8,99.9,41,92.2,11.21,-0.81,0.68,26.7,P0101
Jeep Compass,2023,1304.6,49.1,39.9,95.5,5.12,1.56,-0.1,26.2,P0101
Jeep Compass,2021,2100,42,86.4,94.2,43.35,1.72,0.01,27.5,P2463
Maruti Suzuki Baleno,2016,3436.8,138.3,53.6,88.7,62.06,1.73,1.93,29.8,None
BMW X5,2022,1770.8,71.2,36.1,138.4,31.77,0.45,-2,26.2,P0117
Tata Punch,2015,3130.2,111.8,68.5,89.7,52.2,3.88,-0.69,22,P0300
Maruti Suzuki Dzire,2023,1068.3,41.5,63.6,95.4,15.83,3.68,1.32,32.9,P0300
Hyundai Tucson,2023,905.1,33.6,50.7,132.2,16.62,-0.96,0.36,31.5,P0117
Renault Kiger,2017,1884.4,42,81.9,94.5,33.45,-1.09,1.96,14,P2463
Renault Kiger,2017,1251.9,47.4,35.5,139.7,22.28,1.22,1.74,23.8,P0117
Mahindra Marazzo,2020,2074.2,85.2,65.1,93.3,39.75,-3.73,-1.8,23.7,P0300
Skoda Kushaq,2022,3164.6,122.4,20.1,133.2,57.09,-1.31,-0.57,14.6,P0117
Kia Seltos,2016,2100,42,90.4,94.5,44.43,-1.99,-1.13,19.9,P2463
Hyundai Venue,2022,2390.9,92.2,34.2,94.4,43.06,16.87,21.02,21.9,P0171
Jeep Compass,2023,1269.3,58.4,77.8,92.6,29.31,7.9,-1.44,30.3,P0300
Maruti Suzuki Ertiga,2015,1460.7,42,89.5,94.6,26.45,1.49,-1.04,28.8,P2463
Skoda Slavia,2020,2100,42,87.7,88.8,58.23,-0.87,-1.83,19.9,P2463
Renault Kwid,2016,3017.6,137.3,78.2,93.6,61.37,-2.57,0.28,21.5,P0300
Tata Tiago,2022,3084.8,113,21,90.1,55.42,21.44,20.81,19,P0171
Mercedes-Benz GLC,2018,2054.2,84.8,52.6,93.2,36.57,0.4,0.5,33,None
Nissan Magnite,2016,1468,72.6,64.7,90.4,31.37,2.63,0.82,23.2,P0300
Volkswagen Taigun,2021,1959.8,76.6,46.7,92.2,34.93,26.46,13.39,27.1,P0171
Tata Tiago,2015,2100,42,95,90.7,39.67,0.45,1.46,22.6,P2463
Ford EcoSport,2017,2100,42,82,89,41.43,-0.87,-0.56,29.3,P2463
Maruti Suzuki Alto,2022,1065.7,38.1,25.5,93.7,19.19,19.63,13.05,18.6,P0171
Mahindra Bolero,2015,2100,42,92.9,94.4,41.2,0.95,-1.76,28.7,P2463
Mahindra XUV300,2024,1424.2,46.1,29.2,90.8,5.63,0.26,-0.08,18.6,P0101
Hyundai i20,2019,2327.1,89.8,33.2,95,42.17,-1.43,-1.35,21.7,None
Honda City,2015,938,34,42.9,88.9,16.39,-0.19,1.88,26.2,None
MG Astor,2016,628.2,32.6,71.6,95.5,18.46,-7,0.6,14.1,P0300
Tata Tigor,2019,2714.9,111.1,47.1,91.4,10.83,1.47,-0.21,26.6,P0101
Skoda Kushaq,2022,1499.8,53.4,21.5,90.6,5.95,1.14,-0.19,16.1,P0101
Renault Kwid,2023,2100,42,86.6,92.1,40.95,-1.58,-0.98,24.5,P2463
Honda City,2016,3390.9,126.5,24,128.3,60.98,-0.48,-1.33,17.7,P0117
Tata Nexon,2017,1417.2,51.9,27.7,89.7,25.69,19.84,17.42,21.7,P0171
Toyota Fortuner,2024,2100,42,96.6,94.2,40.7,-0.8,0.56,13.7,P2463
Maruti Suzuki Ertiga,2018,3272.1,128.4,31.7,90.3,13,-0.05,0.7,21.2,P0101
Maruti Suzuki Ertiga,2018,1501.3,54,34.7,89,6.06,1.63,0.5,24.5,P0101
Tata Harrier,2016,3377,125.5,48.5,91.4,60.48,0.63,1.41,31,None
Tata Nexon,2023,2100,42,95.5,95.5,57.71,-1.32,0.04,29.9,P2463
Maruti Suzuki Vitara Brezza,2017,3117.5,116.3,29.4,91.9,55.95,16.22,13.7,20.2,P0171
Hyundai Alcazar,2018,1879.4,62.4,75.2,89.3,27.28,2.27,0.5,28.5,P0300
Tata Tiago,2023,3455.6,125.9,79.2,88.6,56.01,-1.22,-0.77,19.6,P0300
Mahindra Bolero,2020,1097,47.4,16,92,4.45,1.23,-1.07,14.3,P0101
BMW X5,2022,1464.5,51.6,47.1,89.2,26.16,15.37,12.36,28.6,P0171
BMW X5,2022,3341.1,124.7,38,121.8,60.54,-0.63,0.28,25.5,P0117
Honda Amaze,2024,2989.1,112,33.4,92,54.03,19.01,15.08,21.6,P0171
Volkswagen Taigun,2017,3453.4,129.9,27.1,92.2,62.28,19.87,16.66,17.7,P0171
Renault Kwid,2019,3120.5,111,38.8,93.4,55.96,16.07,12.96,26.2,P0171
Toyota Fortuner,2023,1829.2,87.2,78.2,92.2,38.39,1.58,1.16,20.9,P0300
Tata Nexon,2015,3034.7,109.1,15.6,135.2,54.42,1.92,-1.82,14.9,P0117
Hyundai i20,2023,1383.3,42,87.7,95.1,24.59,0.51,-1.28,32.4,P2463
Toyota Fortuner,2016,3407.3,135.1,43.2,92.2,13.72,1.06,-1.51,27.4,P0101
Mahindra Marazzo,2016,1838.9,66.2,74.3,90.4,33.71,-6.94,-0.77,18.8,P0300
Skoda Kushaq,2016,2072.1,84.2,35.5,91.5,37.76,-1.52,-1.05,25,None
Kia Sonet,2024,1024,37.3,33.2,91.4,18.09,1.85,-1.99,20.2,None
Hyundai Venue,2018,2778.8,106.1,28.7,89.6,49.56,16.32,19.23,20.3,P0171
Mahindra Bolero,2022,2800.1,110.6,30.9,122.7,50.73,0.98,0.11,20.2,P0117
Mahindra Marazzo,2019,2225.9,92.2,15.6,120.1,39.67,-1.98,-1.56,16.5,P0117
Audi Q5,2022,3085.4,113.4,47.1,95.9,55.3,-0.62,-1.13,26.4,None
Maruti Suzuki Swift,2021,1690.9,69.1,48.2,91.8,30.45,-1.74,-1.7,30.5,None
Tata Sierra,2021,1033.5,41.1,47.4,90.7,4.19,1.83,-1.26,28.5,P0101
MG Astor,2020,2693.8,100.9,35.9,116.9,48.15,0.77,1.85,23.7,P0117
Maruti Suzuki Dzire,2019,3306.1,128.7,51.4,93.1,59.41,17.51,14.98,28.9,P0171
Tata Tiago,2015,1640.8,56.4,44.3,92.2,6.59,1.95,0.65,29.3,P0101
Toyota Innova Hycross,2018,2025.4,88.8,82.4,89.8,43.24,-7.08,0.16,21.8,P0300
Honda City,2021,1156.2,42,95.7,88.2,20.88,1.7,1.98,32.8,P2463
Nissan Magnite,2023,1427.7,42,87.7,89.4,25.94,0.5,0.76,21.6,P2463
Maruti Suzuki Swift,2020,2057.1,75.2,30.3,96,8.29,0.02,-1.51,22.4,P0101
Tata Sierra,2015,1937.2,77.5,17.4,131.7,34.84,-0.06,-0.89,13.2,P0117
Tata Tigor,2023,1220.4,45.8,41,125.7,22.3,0.07,-0.2,25.7,P0117
