Code,Trouble Code System,Condition Description,Full_Description,Possible_Causes,Diagnostic_Aids,Application,Context_For_RAG
P0060,Powertrain,"HO2S Heater Resistance (Bank 2, Sensor 2)","Heater current requirements too low or high in the heated oxygen sensor (HO2S) heater
control circuit (HO2S22).
Possible See the","for DTC P005x.
Causes:
Diagnostic See the","for DTC P005x.
Aids:",,"DTC Code: P0060
Title: HO2S Heater Resistance (Bank 2, Sensor 2)
System Description: Heater current requirements too low or high in the heated oxygen sensor (HO2S) heater
control circuit (HO2S22).
Possible See the
Possible Causes: for DTC P005x.
Causes:
Diagnostic See the
Diagnostic Steps/Aids: for DTC P005x.
Aids:
Vehicle Application: "
P0068,Powertrain,Manifold Absolute Pressure (MAP)/Mass Air Flow (MAF) - Throttle Position Correlation,"The powertrain control module (PCM) monitors a vehicle operation rationality check by
comparing sensed throttle position to mass air flow readings. If during a key on engine
running (KOER) self-test, the comparison of the throttle position (TP) sensor and MAF
sensor readings are not consistent with the calibrated load values, the test fails and a
DTC is stored in continuous memory.
Possible (cid:1) Air leak between MAF sensor and throttle body
Causes: (cid:1) TP sensor not seated properly
(cid:1) Damaged TP sensor
(cid:1) Damaged MAF sensor",N/A,"Diagnose any MAP, MAF, or TP circuit DTCs first. Drive the vehicle and exercise the
throttle and the TP sensor in all gears. A TP PID less than 4.82% (0.24 volt) with a
LOAD PID greater than 55%, or a TP PID greater than 49.05% (2.44 volts) with a
LOAD PID less than 30% indicates a concern is present.",,"DTC Code: P0068
Title: Manifold Absolute Pressure (MAP)/Mass Air Flow (MAF) - Throttle Position Correlation
System Description: The powertrain control module (PCM) monitors a vehicle operation rationality check by
comparing sensed throttle position to mass air flow readings. If during a key on engine
running (KOER) self-test, the comparison of the throttle position (TP) sensor and MAF
sensor readings are not consistent with the calibrated load values, the test fails and a
DTC is stored in continuous memory.
Possible (cid:1) Air leak between MAF sensor and throttle body
Causes: (cid:1) TP sensor not seated properly
(cid:1) Damaged TP sensor
(cid:1) Damaged MAF sensor
Possible Causes: N/A
Diagnostic Steps/Aids: Diagnose any MAP, MAF, or TP circuit DTCs first. Drive the vehicle and exercise the
throttle and the TP sensor in all gears. A TP PID less than 4.82% (0.24 volt) with a
LOAD PID greater than 55%, or a TP PID greater than 49.05% (2.44 volts) with a
LOAD PID less than 30% indicates a concern is present.
Vehicle Application: "
P0097,Powertrain,Intake Air Temperature Sensor 2 Circuit Low,"Indicates the sensor signal is less than the self-test minimum. The intake air temperature
2 (IAT2) sensor minimum is 0.2 volt.
Possible (cid:1) Grounded circuit in the harness
Causes: (cid:1) Incorrect harness connection
(cid:1) Damaged sensor
Diagnostic Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1
Aids: temperature. Refer to Section 6 , Reference Values.",N/A,N/A,,"DTC Code: P0097
Title: Intake Air Temperature Sensor 2 Circuit Low
System Description: Indicates the sensor signal is less than the self-test minimum. The intake air temperature
2 (IAT2) sensor minimum is 0.2 volt.
Possible (cid:1) Grounded circuit in the harness
Causes: (cid:1) Incorrect harness connection
(cid:1) Damaged sensor
Diagnostic Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1
Aids: temperature. Refer to Section 6 , Reference Values.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0098,Powertrain,Intake Air Temperature Sensor 2 Circuit High,"Indicates the sensor signal is greater than the self-test maximum. The intake air
temperature 2 (IAT2) sensor maximum is 4.6 volts.
Possible (cid:1) Open circuit in the harness
Causes: (cid:1) Sensor signal short to voltage
(cid:1) Incorrect harness connection
(cid:1) Damaged sensor
Diagnostic Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1
Aids: temperature. Refer to Section 6 , Reference Values.",N/A,N/A,,"DTC Code: P0098
Title: Intake Air Temperature Sensor 2 Circuit High
System Description: Indicates the sensor signal is greater than the self-test maximum. The intake air
temperature 2 (IAT2) sensor maximum is 4.6 volts.
Possible (cid:1) Open circuit in the harness
Causes: (cid:1) Sensor signal short to voltage
(cid:1) Incorrect harness connection
(cid:1) Damaged sensor
Diagnostic Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1
Aids: temperature. Refer to Section 6 , Reference Values.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0102,Powertrain,Mass or Volume Air Flow A Circuit Low,"The mass air flow (MAF) sensor circuit is monitored by the powertrain control module
(PCM) for low air flow (or voltage) input through the comprehensive component monitor
(CCM). If during key on, engine running (KOER) the air flow (or voltage) changes below a
minimum calibrated limit, the test fails.
Possible (cid:1) MAF sensor disconnected
Causes: (cid:1) MAF circuit open to PCM
(cid:1) VPWR open to MAF sensor
(cid:1) PWR GND open to the MAF sensor
(cid:1) MAF RTN circuit open to PCM
(cid:1) MAF circuit shorted to GND
(cid:1) Intake air leak (near the MAF sensor)
(cid:1) A closed throttle indication (throttle position [TP] sensor system)
(cid:1) Damaged MAF sensor
Diagnostic A MAF V PID reading less than 0.23 volt in continuous memory or KOER indicates a hard
Aids: fault.",N/A,N/A,,"DTC Code: P0102
Title: Mass or Volume Air Flow A Circuit Low
System Description: The mass air flow (MAF) sensor circuit is monitored by the powertrain control module
(PCM) for low air flow (or voltage) input through the comprehensive component monitor
(CCM). If during key on, engine running (KOER) the air flow (or voltage) changes below a
minimum calibrated limit, the test fails.
Possible (cid:1) MAF sensor disconnected
Causes: (cid:1) MAF circuit open to PCM
(cid:1) VPWR open to MAF sensor
(cid:1) PWR GND open to the MAF sensor
(cid:1) MAF RTN circuit open to PCM
(cid:1) MAF circuit shorted to GND
(cid:1) Intake air leak (near the MAF sensor)
(cid:1) A closed throttle indication (throttle position [TP] sensor system)
(cid:1) Damaged MAF sensor
Diagnostic A MAF V PID reading less than 0.23 volt in continuous memory or KOER indicates a hard
Aids: fault.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0103,Powertrain,Mass or Volume Air Flow A Circuit High,"The mass air flow (MAF) sensor circuit is monitored by the powertrain control module
(PCM) for high air flow (or voltage) input through the comprehensive component monitor
(CCM). If during key on, engine off (KOEO), or key on, engine running (KOER), the air flow
(or voltage) changes above a maximum calibrated limit, the test fails.
Possible (cid:1) MAF sensor screen is blocked
Causes: (cid:1) MAF circuit shorted to voltage
(cid:1) Damaged MAF sensor
Diagnostic A MAF V PID (MAF PID) reading greater than 4.6 volts during KOER indicates a hard fault.
Aids:",N/A,N/A,,"DTC Code: P0103
Title: Mass or Volume Air Flow A Circuit High
System Description: The mass air flow (MAF) sensor circuit is monitored by the powertrain control module
(PCM) for high air flow (or voltage) input through the comprehensive component monitor
(CCM). If during key on, engine off (KOEO), or key on, engine running (KOER), the air flow
(or voltage) changes above a maximum calibrated limit, the test fails.
Possible (cid:1) MAF sensor screen is blocked
Causes: (cid:1) MAF circuit shorted to voltage
(cid:1) Damaged MAF sensor
Diagnostic A MAF V PID (MAF PID) reading greater than 4.6 volts during KOER indicates a hard fault.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0104,Powertrain,Mass or Volume Air Flow A Circuit Intermittent/Erratic,"A concern exists in the mass air flow (MAF) sensor A circuit, or the air tube containing the
sensor, causing an incorrect air flow reading.
Possible (cid:1) Intermittent circuit A open or short
Causes: (cid:1) Air leaks in the tube from the MAF to the throttle body
Diagnostic Verify the integrity of the MAF sensor circuit A for an intermittent concern. Check the
Aids: MAF sensor tube for air leaks.",N/A,N/A,,"DTC Code: P0104
Title: Mass or Volume Air Flow A Circuit Intermittent/Erratic
System Description: A concern exists in the mass air flow (MAF) sensor A circuit, or the air tube containing the
sensor, causing an incorrect air flow reading.
Possible (cid:1) Intermittent circuit A open or short
Causes: (cid:1) Air leaks in the tube from the MAF to the throttle body
Diagnostic Verify the integrity of the MAF sensor circuit A for an intermittent concern. Check the
Aids: MAF sensor tube for air leaks.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0106,Powertrain,Manifold Absolute Pressure (MAP/BARO) Sensor Range/Performance,"MAP sensor input to the powertrain control module (PCM) is monitored and is not within
the calibrated value.
Possible (cid:1) Slow responding MAP sensor
Causes: (cid:1) Electrical circuit failure
(cid:1) Damaged MAP sensor
Diagnostic VREF voltage should be between 4.0 and 6.0 volts. The PID reading is in frequency.
Aids:",N/A,N/A,,"DTC Code: P0106
Title: Manifold Absolute Pressure (MAP/BARO) Sensor Range/Performance
System Description: MAP sensor input to the powertrain control module (PCM) is monitored and is not within
the calibrated value.
Possible (cid:1) Slow responding MAP sensor
Causes: (cid:1) Electrical circuit failure
(cid:1) Damaged MAP sensor
Diagnostic VREF voltage should be between 4.0 and 6.0 volts. The PID reading is in frequency.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0107,Powertrain,Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor Low,"MAP sensor operating voltage is below the minimum calibrated parameter of 0.25
volts.
Possible (cid:1) Open in the circuit, or short to ground
Causes: (cid:1) VREF circuit open, or short to ground
(cid:1) Damaged MAP sensor",N/A,VREF should be greater than 4.0 volts. The PID reading is in frequency/volts.,,"DTC Code: P0107
Title: Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor Low
System Description: MAP sensor operating voltage is below the minimum calibrated parameter of 0.25
volts.
Possible (cid:1) Open in the circuit, or short to ground
Causes: (cid:1) VREF circuit open, or short to ground
(cid:1) Damaged MAP sensor
Possible Causes: N/A
Diagnostic Steps/Aids: VREF should be greater than 4.0 volts. The PID reading is in frequency/volts.
Vehicle Application: "
P0108,Powertrain,Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor High,"Sensor operating voltage is greater than 5 volts (VREF). As a result it failed above the
maximum allowable calibrated parameter.
Possible (cid:1) VREF shorted to VPWR
Causes: (cid:1) MAP signal shorted to VPWR
(cid:1) VREF should be less than 6.0 volts. The PID reading is in frequency/volts
(cid:1) Open circuit
Diagnostic VREF should be greater than 4.0 volts. The PID reading is in frequency/volts.
Aids:",N/A,N/A,,"DTC Code: P0108
Title: Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor High
System Description: Sensor operating voltage is greater than 5 volts (VREF). As a result it failed above the
maximum allowable calibrated parameter.
Possible (cid:1) VREF shorted to VPWR
Causes: (cid:1) MAP signal shorted to VPWR
(cid:1) VREF should be less than 6.0 volts. The PID reading is in frequency/volts
(cid:1) Open circuit
Diagnostic VREF should be greater than 4.0 volts. The PID reading is in frequency/volts.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0109,Powertrain,Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor Intermittent,The sensor signal to the powertrain control module (PCM) is failing intermittently.,"(cid:1) Loose electrical connection
(cid:1) Damaged MAP sensor",Check the harness and connection.,,"DTC Code: P0109
Title: Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) Sensor Intermittent
System Description: The sensor signal to the powertrain control module (PCM) is failing intermittently.
Possible Causes: (cid:1) Loose electrical connection
(cid:1) Damaged MAP sensor
Diagnostic Steps/Aids: Check the harness and connection.
Vehicle Application: "
P0111,Powertrain,Intake Air Temperature (IAT) Sensor 1 Circuit Range/Performance,"Indicates the IAT rationality test has failed. This DTC indicates that the IAT value is higher
than a calibrated value and could prevent 1 or more on-board diagnostic (OBD) monitors
from completing.
The PCM runs this logic after an engine off and a calibrated soak period (typically 6 hours).
This soak period allows IAT and engine coolant temperature (CHT or ECT) to stabilize and
not differ by more than a calibrated value. DTC P0111 is set when:
the IAT at engine start exceeds the ECT or CHT by more than a calibrated value, typically
17°C (30°F).
Possible (cid:1) IAT Sensor
Causes:
Diagnostic Make sure the IAT and the CHT or ECT are similar when the engine is cold.
Aids:",N/A,N/A,,"DTC Code: P0111
Title: Intake Air Temperature (IAT) Sensor 1 Circuit Range/Performance
System Description: Indicates the IAT rationality test has failed. This DTC indicates that the IAT value is higher
than a calibrated value and could prevent 1 or more on-board diagnostic (OBD) monitors
from completing.
The PCM runs this logic after an engine off and a calibrated soak period (typically 6 hours).
This soak period allows IAT and engine coolant temperature (CHT or ECT) to stabilize and
not differ by more than a calibrated value. DTC P0111 is set when:
the IAT at engine start exceeds the ECT or CHT by more than a calibrated value, typically
17°C (30°F).
Possible (cid:1) IAT Sensor
Causes:
Diagnostic Make sure the IAT and the CHT or ECT are similar when the engine is cold.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0112,Powertrain,Intake Air Temperature (IAT) Sensor 1 Circuit Low,"Indicates the sensor signal is less than the self-test minimum. The IAT sensor minimum
is 0.2 volt or 121°C (250°F).
Possible (cid:1) Grounded circuit in the harness
Causes: (cid:1) Damaged sensor
(cid:1) Improper harness connection
Diagnostic An IAT V PID reading less than 0.2 volt with key ON engine OFF or during any engine
Aids: operating mode indicates a concern is present.",N/A,N/A,,"DTC Code: P0112
Title: Intake Air Temperature (IAT) Sensor 1 Circuit Low
System Description: Indicates the sensor signal is less than the self-test minimum. The IAT sensor minimum
is 0.2 volt or 121°C (250°F).
Possible (cid:1) Grounded circuit in the harness
Causes: (cid:1) Damaged sensor
(cid:1) Improper harness connection
Diagnostic An IAT V PID reading less than 0.2 volt with key ON engine OFF or during any engine
Aids: operating mode indicates a concern is present.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0113,Powertrain,Intake Air Temperature (IAT) Sensor 1 Circuit High,"Indicates the sensor signal is greater than the self-test maximum. The IAT sensor
maximum is 4.6 volts or -50°C (-58°F).
Possible (cid:1) Open circuit in the harness
Causes: (cid:1) Sensor signal short to voltage
(cid:1) Damaged sensor
(cid:1) Improper harness connection
Diagnostic An IAT V PID reading greater than 4.6 volts with the key ON engine OFF or during any
Aids: engine operating mode indicates a concern is present.",N/A,N/A,,"DTC Code: P0113
Title: Intake Air Temperature (IAT) Sensor 1 Circuit High
System Description: Indicates the sensor signal is greater than the self-test maximum. The IAT sensor
maximum is 4.6 volts or -50°C (-58°F).
Possible (cid:1) Open circuit in the harness
Causes: (cid:1) Sensor signal short to voltage
(cid:1) Damaged sensor
(cid:1) Improper harness connection
Diagnostic An IAT V PID reading greater than 4.6 volts with the key ON engine OFF or during any
Aids: engine operating mode indicates a concern is present.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0114,Powertrain,Intake Air Temperature (IAT) Sensor 1 Intermittent/Erratic,"Indicates the sensor signal was intermittent during the comprehensive component
monitor (CCM).
Possible (cid:1) Damaged harness
Causes: (cid:1) Damaged sensor
(cid:1) Damaged harness connector
Diagnostic Monitor the IAT on a scan tool. Look for sudden changes in the reading when the
Aids: harness is wiggled or the sensor is tapped.",N/A,N/A,,"DTC Code: P0114
Title: Intake Air Temperature (IAT) Sensor 1 Intermittent/Erratic
System Description: Indicates the sensor signal was intermittent during the comprehensive component
monitor (CCM).
Possible (cid:1) Damaged harness
Causes: (cid:1) Damaged sensor
(cid:1) Damaged harness connector
Diagnostic Monitor the IAT on a scan tool. Look for sudden changes in the reading when the
Aids: harness is wiggled or the sensor is tapped.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0116,Powertrain,Engine Coolant Temperature (ECT) Sensor 1 Circuit Range/Performance,"Indicates the engine coolant temperature rationality test has failed. This DTC indicates
that the ECT or cylinder head temperature (CHT) value is higher than the calibrated
value and could prevent 1 or more on-board diagnostic (OBD) monitors from
completing.
The PCM runs this logic after an engine off and a calibrated soak period (typically 6
hours). This soak period allows the intake air temperature (IAT) and the CHT or ECT to
stabilize and not differ by more than a calibrated value. DTC P0116 is set when all of the
following conditions are met:
The ECT at engine start exceeds the IAT at engine start by more than a calibrated
value, typically 17°C (30°F).
The ECT exceeds a calibrated value, typically 107°C (225°F).
The fuel system, heated oxygen and misfire monitors have not completed.
The calibrated time to set DTC P0116 has expired.
Possible (cid:1) ECT or CHT sensor
Causes: (cid:1) Coolant system concern
Diagnostic Make sure the IAT and the ECT are similar when the engine is cold. Also make sure the
Aids: ECT or CHT sensor and the actual engine operating temperatures are the same.",N/A,N/A,,"DTC Code: P0116
Title: Engine Coolant Temperature (ECT) Sensor 1 Circuit Range/Performance
System Description: Indicates the engine coolant temperature rationality test has failed. This DTC indicates
that the ECT or cylinder head temperature (CHT) value is higher than the calibrated
value and could prevent 1 or more on-board diagnostic (OBD) monitors from
completing.
The PCM runs this logic after an engine off and a calibrated soak period (typically 6
hours). This soak period allows the intake air temperature (IAT) and the CHT or ECT to
stabilize and not differ by more than a calibrated value. DTC P0116 is set when all of the
following conditions are met:
The ECT at engine start exceeds the IAT at engine start by more than a calibrated
value, typically 17°C (30°F).
The ECT exceeds a calibrated value, typically 107°C (225°F).
The fuel system, heated oxygen and misfire monitors have not completed.
The calibrated time to set DTC P0116 has expired.
Possible (cid:1) ECT or CHT sensor
Causes: (cid:1) Coolant system concern
Diagnostic Make sure the IAT and the ECT are similar when the engine is cold. Also make sure the
Aids: ECT or CHT sensor and the actual engine operating temperatures are the same.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0117,Powertrain,Engine Coolant Temperature (ECT) Sensor 1 Circuit Low,"Indicates the sensor signal is less than the self-test minimum. The ECT sensor minimum
is 0.2 volt or 121°C (250°F).
Possible (cid:1) Grounded circuit in the harness
Causes: (cid:1) Damaged sensor
(cid:1) Incorrect harness connection
Diagnostic A concern is present if an ECT V PID reading less than 0.2 volt with the key ON engine
Aids: OFF or during any engine operating mode.",N/A,N/A,,"DTC Code: P0117
Title: Engine Coolant Temperature (ECT) Sensor 1 Circuit Low
System Description: Indicates the sensor signal is less than the self-test minimum. The ECT sensor minimum
is 0.2 volt or 121°C (250°F).
Possible (cid:1) Grounded circuit in the harness
Causes: (cid:1) Damaged sensor
(cid:1) Incorrect harness connection
Diagnostic A concern is present if an ECT V PID reading less than 0.2 volt with the key ON engine
Aids: OFF or during any engine operating mode.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0118,Powertrain,Engine Coolant Temperature (ECT) Sensor 1 Circuit High,"Indicates the sensor signal is greater than the self-test maximum. The ECT sensor
maximum is 4.6 volts or -50°C (-58°F).
Possible (cid:1) Open circuit in the harness
Causes: (cid:1) Sensor signal short to voltage
(cid:1) Improper harness connection
(cid:1) Damaged sensor
Diagnostic An ECT V PID reading greater than 4.6 volts with the key ON engine OFF or during any
Aids: engine operating mode indicates a concern is present.",N/A,N/A,,"DTC Code: P0118
Title: Engine Coolant Temperature (ECT) Sensor 1 Circuit High
System Description: Indicates the sensor signal is greater than the self-test maximum. The ECT sensor
maximum is 4.6 volts or -50°C (-58°F).
Possible (cid:1) Open circuit in the harness
Causes: (cid:1) Sensor signal short to voltage
(cid:1) Improper harness connection
(cid:1) Damaged sensor
Diagnostic An ECT V PID reading greater than 4.6 volts with the key ON engine OFF or during any
Aids: engine operating mode indicates a concern is present.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
