ENGINE_RPM,VEHICLE_SPEED,ENGINE_LOAD,COOLANT_TEMP,MAF_GRAMS_SEC,SHORT_TERM_TRIM,LONG_TERM_TRIM,THROTTLE_POS,TARGET_DTC
2244.2,80.8,37.8,88.8,40.32,20.16,16.08,20.6,P0171
752.2,28.7,85.9,88.4,13.44,-1.07,-0.6,30.0,P2463
1832.1,59.6,63.2,89.3,29.66,1.81,0.14,17.5,P0300
2133.6,75.3,54.6,94.4,38.09,-1.7,0.45,28.9,None
1948.6,68.0,29.2,88.9,35.02,-0.6,-0.76,15.4,None
2057.1,69.9,26.3,92.5,37.35,-0.26,-0.29,19.8,None
2629.9,91.2,36.2,95.0,47.36,1.95,-0.42,24.2,None
2869.7,102.7,50.6,91.9,51.59,0.21,-0.98,29.3,None
1140.9,44.2,46.2,93.1,4.4,-1.11,-0.27,24.1,P0101
3046.1,105.2,20.2,90.4,55.29,0.67,-0.69,14.3,None
2100.0,45.0,79.0,88.4,46.22,1.07,-0.61,23.9,P2463
1057.7,35.7,39.9,94.6,18.99,1.43,0.33,24.0,None
1177.6,41.0,17.1,89.1,4.64,0.51,-0.01,13.4,P0101
2118.1,72.3,33.7,112.1,37.87,-1.64,-0.25,19.3,P0117
786.2,28.1,38.8,90.5,14.23,0.67,0.23,19.9,None
2769.4,97.5,40.7,89.2,49.59,1.22,0.51,26.5,None
1092.2,39.6,29.2,91.8,19.51,-0.35,0.11,17.0,None
1974.5,73.5,44.1,91.5,35.84,1.17,0.05,23.1,None
1382.4,49.3,54.6,93.9,24.56,1.6,0.07,27.0,None
1703.4,58.1,61.2,88.6,27.15,1.19,-0.49,19.0,P0300
2120.2,77.2,52.0,91.3,38.16,0.73,-0.26,27.9,None
1732.6,58.3,48.4,91.3,31.27,1.3,-0.23,29.1,None
1666.4,57.3,37.4,93.2,30.11,-1.37,-0.81,24.7,None
1761.9,58.7,49.0,94.7,31.34,-1.9,-0.81,18.9,P0300
2100.0,45.0,82.0,95.3,47.98,-0.11,-0.6,16.7,P2463
1212.6,45.5,34.2,93.6,22.03,0.55,0.93,23.1,None
939.9,37.0,22.7,89.3,17.2,0.07,0.57,13.2,None
2608.6,90.1,50.0,90.2,46.93,0.75,0.02,27.0,None
1577.5,57.7,17.2,94.2,28.64,-1.17,0.38,14.1,None
2887.6,100.1,23.4,88.7,52.42,-0.3,0.83,13.0,None
2279.9,78.0,52.9,92.1,41.06,-0.58,0.47,32.0,None
2781.8,98.6,42.2,93.9,49.99,-0.16,0.74,24.6,None
1483.0,54.0,21.5,90.5,26.37,-0.57,0.1,14.2,None
2356.7,82.9,41.7,92.8,42.81,23.27,15.14,22.9,P0171
2963.5,101.2,43.4,92.5,53.67,-0.41,-0.04,25.0,None
2156.6,74.6,54.4,94.3,39.21,0.91,-0.8,30.8,None
1763.2,60.3,19.4,90.0,32.19,0.07,0.37,11.7,None
3081.2,103.6,24.5,90.6,55.52,-1.1,0.32,16.6,None
1443.9,51.2,22.6,95.7,25.76,1.79,0.12,13.2,None
1954.5,64.4,42.5,95.3,35.03,1.28,-0.42,25.2,None
1022.7,34.6,32.6,93.5,18.22,-1.39,0.92,20.8,None
1773.3,57.3,49.0,119.2,31.94,0.92,0.11,25.2,P0117
2236.6,80.3,28.8,94.2,40.11,-0.02,0.13,17.3,None
1235.6,44.1,52.8,89.7,22.08,-0.67,0.61,28.9,None
2302.1,84.3,34.0,92.7,40.95,0.24,0.99,20.4,None
1816.1,68.3,38.8,92.3,32.2,-0.83,0.29,24.3,None
2772.2,96.6,25.8,119.8,49.87,-0.33,0.52,15.4,P0117
3172.9,112.8,25.2,95.1,57.05,-0.23,0.13,14.8,None
1738.7,75.5,69.1,95.2,36.72,0.51,-0.8,23.4,P0300
2230.5,77.6,21.3,93.2,39.76,-1.62,0.48,15.9,None
1451.6,48.7,21.9,88.3,26.04,0.43,0.59,13.3,None
1765.9,65.6,30.7,95.2,31.84,0.65,-0.43,18.5,None
2155.7,73.9,27.5,93.5,38.44,-1.88,0.14,15.5,None
836.7,26.9,28.8,121.4,14.74,-0.65,-0.25,18.4,P0117
831.7,29.8,30.8,122.3,15.21,0.37,-0.24,17.7,P0117
1202.2,40.2,35.5,88.3,21.81,-1.23,-0.76,23.9,None
3128.7,107.5,38.2,117.3,56.02,-0.11,0.44,21.9,P0117
2147.3,85.1,67.5,91.6,41.26,-0.9,-0.83,15.2,P0300
844.9,26.6,53.6,123.8,15.42,-1.65,-0.83,26.8,P0117
1355.5,51.3,44.1,93.2,24.56,-0.31,0.04,22.1,None
1467.8,47.9,17.2,91.4,26.64,-0.35,0.7,11.0,None
1485.3,47.9,38.1,91.4,26.87,0.25,-0.77,19.4,None
1673.8,60.5,37.9,92.3,6.77,0.49,0.37,24.5,P0101
2343.1,83.2,45.8,92.8,42.66,-0.66,-0.48,28.4,None
1043.4,36.3,28.4,93.2,18.52,1.88,0.74,18.5,None
2982.0,107.1,35.4,95.9,53.35,1.68,-0.03,18.2,None
2600.0,92.8,42.4,127.7,46.6,1.63,0.14,22.4,P0117
2435.5,81.8,54.4,89.7,43.96,-0.45,-0.27,31.7,None
986.1,31.9,33.6,89.1,18.14,0.77,-0.53,20.2,None
2175.2,73.1,39.1,117.5,39.56,1.76,0.5,24.0,P0117
787.6,32.0,42.3,94.7,14.68,0.9,-0.65,26.7,None
2596.4,95.7,54.1,89.4,46.97,-1.3,0.16,27.2,None
864.0,29.1,34.6,90.3,15.3,-0.92,0.83,20.7,None
1262.3,40.3,33.7,91.4,22.59,1.56,-0.7,21.1,None
2832.7,102.6,49.7,91.7,51.39,0.3,0.75,29.5,None
1478.9,54.3,46.9,92.8,27.11,1.36,-0.91,28.3,None
1569.8,50.4,34.6,90.7,27.97,0.41,-0.81,22.9,None
1347.4,52.5,67.8,95.2,24.46,0.0,0.6,18.3,P0300
2267.4,75.4,39.9,90.4,40.7,-1.12,-0.97,23.5,None
2826.9,102.7,24.8,89.1,50.59,1.68,0.17,16.9,None
1271.3,43.8,37.5,95.2,22.87,1.66,0.16,22.1,None
2796.3,97.4,25.2,94.1,50.23,20.65,18.99,14.3,P0171
3047.7,105.7,29.8,89.5,54.39,-1.17,-0.73,21.0,None
2962.3,105.2,41.5,88.5,53.13,-1.34,0.71,26.8,None
1500.6,55.8,19.3,120.1,27.4,-0.76,-0.94,13.6,P0117
2271.2,79.5,36.5,88.6,40.6,-1.55,-0.88,19.5,None
1872.8,68.0,39.4,89.4,33.77,-0.49,0.78,20.0,None
1414.4,52.8,16.1,91.9,5.76,-0.72,0.93,9.6,P0101
2291.7,70.7,69.5,92.4,36.43,-1.84,0.08,17.2,P0300
1747.4,45.0,75.4,92.9,31.37,-0.7,0.34,22.5,P2463
1794.7,66.8,29.9,92.4,7.36,1.0,-0.27,21.0,P0101
2632.2,90.7,21.5,89.8,47.58,1.22,-0.49,16.4,None
1239.7,45.6,32.1,90.8,22.64,-1.81,-0.21,20.6,None
2893.6,97.6,31.5,91.7,51.83,0.62,-0.43,21.0,None
1057.2,40.0,20.5,93.7,18.77,-0.55,-0.17,13.5,None
2025.0,72.9,54.5,92.0,36.61,-0.06,0.04,27.3,None
2762.5,94.6,36.3,94.1,50.11,-1.26,0.24,22.4,None
1162.6,44.2,26.0,114.3,20.65,-1.96,-0.49,19.6,P0117
1918.3,68.4,44.5,88.2,34.6,16.58,14.25,25.0,P0171
2028.9,68.3,28.6,94.2,36.77,1.86,-0.58,19.6,None
776.2,29.4,77.4,92.6,14.37,-1.75,0.43,30.1,P2463
2938.2,107.7,44.1,90.7,52.52,-1.56,-0.47,22.3,None
871.8,31.7,25.8,88.1,3.48,0.27,-0.53,19.5,P0101
1872.1,66.1,36.8,94.5,33.51,-0.54,0.2,20.7,None
3029.7,106.5,40.9,91.6,54.54,-0.99,0.95,26.0,None
2429.3,87.0,38.3,89.2,44.02,1.5,-0.25,25.4,None
1960.3,64.7,24.1,89.0,35.08,0.16,0.28,16.4,None
1105.8,37.2,19.2,89.0,20.19,-1.65,-0.84,16.7,None
944.3,28.7,48.3,89.8,16.82,0.4,0.62,28.2,None
1363.3,44.8,35.4,93.3,24.33,17.47,19.13,20.9,P0171
3089.9,107.3,50.2,94.0,55.54,-1.53,-0.81,24.9,None
2592.7,93.3,16.7,95.6,47.14,0.87,0.85,15.2,None
1636.4,57.5,16.0,88.1,29.46,1.85,-0.16,11.3,None
2031.0,68.1,33.9,91.3,36.65,-1.64,-0.21,22.9,None
921.7,37.8,72.7,92.3,17.56,-1.47,0.01,22.6,P0300
875.8,34.8,32.2,89.2,15.86,0.84,0.27,16.7,None
1704.3,59.1,52.0,95.5,30.5,0.57,-0.1,25.7,None
2315.6,79.1,49.5,88.7,41.21,-1.56,-0.71,24.9,None
1629.2,57.1,42.2,122.7,29.61,-1.7,-0.97,24.9,P0117
2304.0,81.9,31.1,90.3,41.69,1.24,0.64,17.5,None
1348.9,46.0,26.1,89.5,24.18,-1.4,-0.02,16.7,None
2105.1,69.9,47.7,92.0,37.9,-0.28,0.47,25.2,None
1632.6,58.5,39.8,90.5,29.31,18.38,18.19,22.2,P0171
2172.0,78.6,42.1,90.3,39.44,1.34,0.61,25.6,None
1185.7,42.2,23.9,94.2,21.71,-0.55,0.66,12.9,None
1219.0,45.7,50.5,95.5,25.85,0.99,0.95,11.5,P0300
2902.9,105.6,28.8,88.8,52.05,1.04,0.43,17.3,None
1260.6,42.2,28.6,118.2,23.16,-0.67,-0.27,16.0,P0117
2276.8,80.6,51.7,88.2,41.09,-1.56,0.24,29.4,None
1759.4,61.2,49.5,88.7,31.72,23.76,16.66,26.3,P0171
1521.2,45.0,88.3,95.7,27.19,-1.12,0.05,17.2,P2463
2883.2,100.8,23.1,93.5,51.83,0.6,0.84,15.0,None
2100.0,45.0,87.6,90.5,52.73,-1.17,-0.58,24.8,P2463
952.2,34.1,28.3,125.3,17.62,-1.26,0.63,17.7,P0117
930.0,33.7,32.5,92.6,16.9,0.28,-0.01,17.0,None
1055.0,34.4,32.8,94.3,18.55,1.74,0.86,17.2,None
1361.0,42.8,52.8,95.8,24.97,-0.37,0.32,31.8,None
1488.1,49.7,15.4,93.9,5.93,-1.98,0.01,14.7,P0101
2585.8,90.3,30.1,88.4,46.83,-0.65,-0.37,19.1,None
1149.0,35.5,39.2,94.2,20.9,-1.43,-0.94,24.2,None
1246.4,38.7,53.4,91.3,22.49,1.95,-0.75,31.6,None
1228.8,38.4,38.7,90.4,22.45,-0.03,0.86,20.2,None
2009.9,66.9,24.6,89.2,36.52,-1.38,-0.5,17.3,None
2683.8,106.0,86.4,89.4,52.94,-1.36,-0.4,27.1,P0300
2201.2,75.2,23.9,90.2,8.63,0.86,0.0,13.0,P0101
1505.3,52.6,48.3,92.8,26.86,1.88,0.52,27.8,None
1960.2,69.1,28.2,93.5,35.54,-0.85,0.64,20.7,None
2324.5,81.2,34.2,94.9,41.71,-1.66,-0.75,20.7,None
673.2,28.7,67.7,89.7,13.99,-0.41,-0.87,17.9,P0300
2849.7,100.1,19.3,95.4,51.76,-1.22,-0.3,13.6,None
1655.5,57.0,38.3,113.3,29.44,0.41,-0.17,24.5,P0117
2750.1,99.4,43.3,93.5,49.48,0.68,0.47,24.2,None
1116.4,41.6,40.2,89.4,20.48,-0.18,0.52,23.9,None
2112.1,70.4,47.6,118.0,38.1,-1.3,0.04,24.5,P0117
2368.4,74.2,76.3,95.0,39.03,0.44,0.91,23.2,P0300
1550.0,55.0,37.6,89.8,28.05,-0.39,0.03,21.6,None
1568.5,54.6,50.1,93.7,27.99,24.57,15.38,25.0,P0171
2100.0,45.0,83.2,94.5,40.4,-1.16,-0.38,18.3,P2463
994.4,39.1,28.6,121.4,18.33,-1.68,-0.83,17.7,P0117
2092.1,77.4,20.9,113.2,37.47,0.5,-0.42,15.1,P0117
3175.9,107.8,30.5,88.9,57.61,-0.12,-0.61,16.8,None
2184.6,80.8,21.5,94.1,39.71,0.41,0.09,12.3,None
2894.3,102.9,18.3,89.7,52.42,-0.62,0.44,11.7,None
1221.9,45.7,52.4,91.3,22.0,-1.1,0.5,28.1,None
2347.0,79.9,15.8,96.0,42.26,0.96,-0.81,12.9,None
2026.1,45.0,77.8,94.0,36.81,1.04,-0.46,28.7,P2463
2467.5,82.7,48.6,93.2,44.68,0.66,-0.81,24.4,None
1723.6,60.3,47.5,88.9,31.2,1.42,-0.91,28.0,None
2634.0,91.7,53.7,91.3,47.88,-0.16,0.74,31.0,None
1509.2,57.0,31.2,91.5,27.57,-0.16,0.31,16.6,None
1850.6,64.4,19.1,92.5,33.4,-1.04,0.45,11.8,None
2379.2,82.4,27.4,92.4,42.51,-0.67,0.85,16.7,None
3193.8,115.0,36.4,92.0,57.13,-0.4,0.16,23.9,None
2195.4,80.3,40.2,92.1,8.91,0.45,0.87,21.8,P0101
2234.9,82.1,38.3,89.5,40.21,-1.23,-0.21,25.3,None
2916.7,102.0,50.5,90.2,52.72,-1.92,0.56,26.5,None
2525.1,88.0,17.0,89.0,45.12,1.32,0.48,14.9,None
2883.8,100.1,47.1,92.9,51.49,-1.5,0.73,24.7,None
1152.8,40.6,37.1,95.3,20.84,-0.88,0.1,23.5,None
3113.5,109.3,26.0,127.8,55.64,0.58,-0.21,16.5,P0117
3187.6,109.2,52.7,88.2,56.99,-1.85,0.66,26.9,None
2268.2,76.9,42.5,95.4,40.99,-1.5,-0.75,23.0,None
1801.9,68.0,41.2,88.2,32.55,-0.93,0.69,23.0,None
815.8,33.2,49.6,116.2,15.07,-0.83,0.79,25.8,P0117
2745.6,92.5,41.2,89.2,49.79,1.31,-0.59,26.3,None
1810.2,61.1,35.5,124.3,33.02,-1.2,0.48,18.6,P0117
1226.8,47.7,44.9,89.5,21.76,0.76,0.67,28.2,None
2860.6,98.5,18.2,94.9,51.68,-1.24,-0.48,14.1,None
1470.1,55.7,24.6,89.7,26.86,0.62,0.95,19.1,None
1165.8,45.0,94.0,91.8,20.76,-1.97,-0.22,24.6,P2463
2689.6,97.8,37.8,92.6,47.93,-1.61,0.64,21.5,None
2649.0,92.4,17.3,93.0,47.82,-1.32,-0.76,11.4,None
3096.4,106.2,46.3,94.6,12.58,-0.38,-0.83,27.1,P0101
1529.2,52.3,37.1,95.1,27.59,-1.98,0.09,24.5,None
1416.8,52.3,40.6,88.5,25.92,1.72,0.39,23.6,None
2253.8,78.7,49.2,94.8,39.8,1.7,-0.32,12.7,P0300
1871.8,45.0,85.2,91.8,34.15,0.1,-0.81,20.1,P2463
2298.7,81.1,52.2,88.1,41.63,0.83,-0.3,25.8,None
1385.3,47.0,18.6,89.4,25.38,-1.82,-0.57,14.7,None
1032.0,38.5,85.9,94.4,18.35,-0.21,0.19,15.1,P2463
1486.3,49.2,34.4,88.3,27.23,0.8,0.05,21.4,None
1960.4,69.9,15.0,95.2,35.04,-1.35,0.94,10.4,None
1322.7,45.2,26.3,88.0,23.36,1.51,0.53,19.7,None
962.9,34.4,45.1,89.9,16.91,0.68,-0.15,24.7,None
1457.8,49.3,38.7,89.3,26.65,0.71,-0.74,24.9,None
1806.8,63.3,25.9,90.8,7.11,0.32,-0.74,19.1,P0101
896.8,34.8,86.2,88.0,15.91,-0.08,0.56,21.8,P2463
1227.8,41.4,48.8,93.1,22.59,1.01,0.09,24.6,None
3175.8,113.4,20.6,94.0,56.98,0.54,-0.28,13.4,None
2434.6,88.4,39.9,94.7,43.57,-0.93,0.31,21.6,None
2453.7,84.9,15.1,89.7,43.75,-1.32,-0.62,14.1,None
1585.4,51.2,26.8,91.9,28.55,-0.16,-0.52,19.7,None
2807.6,98.8,51.6,92.0,50.33,-1.12,-0.15,26.2,None
2100.0,45.0,81.4,94.1,50.69,0.55,0.82,20.5,P2463
947.2,29.8,76.7,91.4,15.6,0.76,-0.07,20.0,P0300
2419.8,87.6,42.6,95.1,43.58,1.5,-0.13,25.3,None
1994.4,45.0,85.5,94.7,35.56,-0.32,-0.11,23.5,P2463
2283.3,77.6,36.0,91.0,41.43,0.75,0.2,23.5,None
1568.0,50.1,40.3,95.4,28.16,-1.32,0.99,22.5,None
995.4,35.1,38.3,94.0,17.81,1.13,0.11,19.8,None
2862.6,97.4,49.6,90.8,51.34,0.27,-0.34,29.9,None
1632.8,57.6,51.6,89.5,28.93,0.66,-0.32,27.4,None
1842.9,62.2,41.4,91.4,31.41,1.75,0.95,11.3,P0300
2100.0,45.0,76.9,91.9,54.83,0.77,0.18,19.3,P2463
2856.3,101.1,33.7,92.2,50.96,1.85,-0.58,21.1,None
1808.6,68.0,35.7,90.1,32.21,-0.49,0.3,22.9,None
2561.4,93.4,35.9,91.8,46.23,1.74,0.27,20.7,None
857.3,30.3,75.4,93.6,15.71,-0.64,-0.72,20.6,P2463
971.6,38.3,44.8,88.4,17.86,0.57,-0.73,24.9,None
834.0,32.6,54.6,93.6,14.87,0.25,0.92,31.0,None
1591.3,45.0,88.6,91.5,28.39,0.94,-0.57,25.7,P2463
909.1,27.8,23.7,89.1,16.82,0.81,-0.65,18.1,None
2428.1,80.2,27.1,88.7,44.05,1.82,0.24,17.2,None
1174.8,39.7,34.7,88.1,20.68,-1.76,0.35,21.0,None
2342.0,83.7,44.1,92.7,41.71,1.63,0.93,22.4,None
2546.5,85.6,44.5,91.3,45.37,-0.95,0.66,26.9,None
2764.0,97.5,48.8,120.4,49.46,-1.12,-0.23,29.4,P0117
860.8,28.3,54.5,91.1,15.0,1.7,0.88,27.5,None
1688.5,58.6,16.7,93.7,6.74,-1.59,-0.28,15.2,P0101
2895.7,105.9,38.3,91.9,52.19,1.15,-0.76,21.9,None
2172.8,76.0,17.4,117.0,38.67,1.07,-0.49,12.9,P0117
1831.4,66.0,36.1,91.4,33.16,-1.24,0.54,22.2,None
2668.6,97.3,20.0,94.3,48.22,1.25,-0.89,16.9,None
1093.3,40.8,36.3,94.6,20.06,0.55,-0.94,23.6,None
768.2,22.8,42.8,92.7,13.62,0.94,0.93,24.2,None
883.2,27.9,25.5,95.9,16.06,-0.71,-0.81,19.0,None
2100.0,45.0,84.1,90.9,47.39,-1.84,-0.88,18.6,P2463
2312.3,84.2,38.5,91.1,41.24,-1.91,-0.74,24.9,None
2477.9,84.4,50.4,91.6,44.75,-0.17,-0.66,26.2,None
1547.8,53.0,29.2,92.2,28.23,22.23,16.47,18.9,P0171
1923.2,65.2,16.6,90.0,34.55,-1.72,-0.92,13.3,None
1323.3,48.9,17.1,95.0,23.51,1.9,-0.7,12.5,None
1424.3,50.5,36.9,90.8,25.41,0.9,0.81,22.7,None
1895.9,64.6,16.5,92.0,34.09,0.02,-0.46,15.2,None
1132.8,34.7,41.6,116.2,20.14,0.81,-0.33,21.4,P0117
2100.0,45.0,76.7,91.0,40.07,-0.99,-0.98,22.3,P2463
1684.4,45.0,91.2,94.5,30.42,-0.03,0.28,24.1,P2463
925.6,27.7,48.1,116.0,16.81,1.65,-0.1,28.6,P0117
1926.0,65.3,31.2,89.1,34.63,1.33,0.22,22.0,None
2201.2,78.2,41.7,89.8,39.6,-1.01,-0.43,21.0,None
2100.0,45.0,90.4,88.3,49.13,1.1,0.1,14.0,P2463
2819.8,89.9,74.7,88.3,48.58,1.74,0.51,26.1,P0300
1793.3,58.1,33.5,91.2,32.45,-0.98,-0.64,20.6,None
1012.4,35.4,26.6,90.7,18.58,22.58,16.69,18.2,P0171
1476.1,53.4,47.5,91.3,26.61,-1.9,-0.25,24.4,None
2499.7,87.3,17.0,93.3,44.73,0.22,-0.81,10.6,None
1511.3,52.0,39.8,93.8,27.0,-0.73,0.75,22.9,None
2921.9,103.5,57.0,91.5,53.18,0.79,0.73,16.2,P0300
1048.9,34.3,25.9,88.2,19.26,-1.25,-0.05,16.6,None
1802.6,66.3,35.8,94.0,32.19,-0.25,0.88,21.4,None
2133.0,72.2,31.9,95.6,8.41,1.19,0.27,21.5,P0101
1456.7,48.4,36.7,89.5,25.79,1.79,-0.14,19.7,None
1069.2,34.3,46.6,95.6,19.39,1.96,0.32,24.7,None
1942.3,72.1,28.2,95.9,34.81,-1.03,0.3,15.0,None
827.8,25.2,28.2,89.6,14.44,-0.69,0.13,15.7,None
785.0,31.8,52.1,93.4,13.83,1.51,0.76,31.1,None
1815.0,66.9,32.3,88.6,7.25,0.18,0.5,17.9,P0101
3012.8,105.0,23.3,92.8,54.29,-1.04,0.2,12.9,None
2931.5,102.8,39.7,92.8,52.88,-1.18,-0.42,21.4,None
633.3,29.4,64.0,95.6,14.32,-1.61,-0.2,15.3,P0300
2980.2,102.8,36.2,90.8,53.3,-1.05,-0.17,23.2,None
2753.3,91.8,52.3,92.4,49.79,-1.81,-0.23,28.2,None
1208.2,44.8,25.4,89.6,21.42,-1.14,-0.1,17.1,None
1587.1,54.4,45.9,89.9,28.64,-1.69,0.84,26.8,None
