CAR_MODEL,YEAR,ENGINE_RPM,VEHICLE_SPEED,ENGINE_LOAD,COOLANT_TEMP,MAF_GRAMS_SEC,SHORT_TERM_TRIM,LONG_TERM_TRIM,THROTTLE_POS,TROUBLE_CODES
MG Astor,2017,1695.6,55.2,30.4,88.4,31.7,1.71,2.11,25.7,None
Jeep Compass,2018,3262.5,126.3,19.8,94.7,62.7,0.69,-0.15,14.7,None
Mahindra XUV700,2016,2394.6,84.3,36.1,92.0,45.87,0.43,-1.75,30.0,None
Honda Amaze,2023,964.2,45.4,39.2,137.8,17.76,0.33,-1.18,28.2,P0117
Mahindra Thar,2019,1024.8,53.4,68.3,92.1,28.16,1.16,-0.4,22.8,P0300
Ford Endeavour,2022,2646.7,96.2,30.1,87.9,7.75,0.3,-0.85,28.3,P0101
Volkswagen Virtus,2018,1123.0,36.3,56.9,95.3,21.96,-1.05,0.88,34.0,None
Ford EcoSport,2015,1735.6,56.4,25.2,85.7,5.38,2.46,0.69,20.2,P0101
Kia Carens,2021,1091.1,33.8,56.3,85.8,20.7,-3.49,1.71,41.9,None
Mahindra Thar,2024,3482.9,136.7,59.9,96.3,65.42,1.59,-0.34,37.6,None
Maruti Suzuki Dzire,2022,889.4,28.5,28.0,88.5,16.53,3.14,-2.87,16.7,None
Skoda Slavia,2024,1891.7,64.7,55.9,94.7,36.45,26.83,24.03,36.0,P0171
Mahindra Scorpio-N,2021,2555.7,92.2,23.4,94.9,48.65,-2.73,2.76,20.7,None
Mahindra Bolero,2020,834.3,33.3,34.6,92.9,16.01,-2.16,-1.83,25.1,None
Toyota Innova Hycross,2017,1797.8,63.5,36.9,86.3,34.17,3.17,-2.67,24.4,None
Mahindra Scorpio-N,2018,915.2,25.3,32.6,95.7,17.35,1.7,-2.59,18.4,None
Honda Amaze,2023,1832.0,66.2,59.7,133.6,34.65,2.43,-0.15,40.7,P0117
Hyundai Verna,2022,3110.5,116.9,27.1,115.4,59.29,2.68,-1.94,18.9,P0117
Toyota Glanza,2016,2075.2,74.9,35.9,92.9,40.06,1.91,2.88,31.4,None
Maruti Suzuki Celerio,2023,2216.7,74.3,47.3,89.3,42.9,3.54,-2.93,32.2,None
Mahindra XUV700,2018,2374.0,85.2,35.6,88.2,45.39,0.8,2.12,31.7,None
Hyundai Creta,2021,2605.1,98.3,47.8,93.0,7.86,-3.65,0.51,35.6,P0101
Tata Altroz,2021,3143.3,111.0,15.2,85.0,59.93,22.51,22.03,15.3,P0171
Hyundai i20,2020,1873.2,67.4,12.6,89.7,35.9,-1.59,-1.69,12.2,None
Hyundai i20,2016,2441.8,93.0,21.4,88.1,46.65,3.86,1.06,21.8,None
Toyota Glanza,2021,2862.2,112.9,21.8,91.7,53.67,3.47,-1.2,16.0,None
Hyundai Venue,2019,3070.5,114.2,41.3,95.1,57.8,-1.3,-1.25,31.6,None
BMW X5,2018,2096.9,88.8,75.1,88.0,40.4,3.83,-0.14,26.4,P0300
MG Astor,2022,877.3,40.0,85.5,97.8,16.3,3.46,1.85,33.7,P2463
BMW X5,2019,3385.1,123.6,23.7,94.9,9.97,-2.73,-2.85,14.0,P0101
Volkswagen Taigun,2016,2000.0,40.0,92.0,92.8,60.18,1.25,-2.35,29.6,P2463
Hyundai Creta,2021,3042.6,114.2,49.3,91.3,57.12,-2.15,0.85,29.9,None
Mahindra Thar,2021,865.8,35.0,26.3,93.7,17.12,-3.25,-1.33,21.3,None
MG Hector,2020,3102.2,120.2,32.9,96.4,59.37,1.39,-1.28,25.6,None
Hyundai Alcazar,2023,2029.0,72.5,76.0,92.1,40.88,-2.64,1.52,23.8,P0300
Toyota Glanza,2015,829.6,36.4,58.2,88.9,16.26,-0.36,-0.69,33.4,None
Maruti Suzuki Alto,2023,2232.6,93.1,40.0,90.6,42.5,2.33,-2.52,24.4,None
Tata Tiago,2015,520.1,43.9,73.1,94.2,19.53,1.31,2.96,17.5,P0300
Toyota Fortuner,2016,2836.9,102.3,51.7,85.8,54.18,-2.67,2.16,28.5,None
Tata Tiago,2020,2348.4,93.3,49.1,96.2,7.09,-3.72,1.97,39.4,P0101
Mahindra Thar,2018,2665.8,98.9,51.8,89.5,50.42,-0.02,-0.65,28.7,None
MG Hector,2016,2915.1,101.1,15.9,93.4,54.6,29.78,19.35,13.0,P0171
Ford EcoSport,2023,2890.5,101.5,58.8,94.7,55.42,27.33,24.29,33.1,P0171
Tata Harrier,2023,1269.2,48.5,57.4,86.8,23.8,19.86,16.76,31.4,P0171
Mahindra Thar,2018,1567.6,53.1,13.3,92.1,30.21,25.6,17.57,10.4,P0171
Mahindra Marazzo,2020,1480.7,63.0,73.8,97.8,34.39,2.14,2.76,20.8,P0300
Toyota Innova Hycross,2020,3001.4,108.8,110.7,96.4,57.61,1.31,0.36,34.3,P0300
Skoda Kushaq,2023,3182.4,123.5,53.5,98.0,64.43,-0.6,0.32,21.8,P0300
Toyota Urban Cruiser,2018,2000.0,40.0,87.2,86.6,48.92,2.78,2.27,41.5,P2463
Maruti Suzuki Ertiga,2021,2854.7,104.4,28.0,94.2,53.81,3.93,1.78,25.2,None
Skoda Slavia,2023,2444.5,79.9,61.3,85.3,44.01,-1.2,-2.15,14.0,P0300
Nissan Magnite,2015,1499.2,50.2,18.0,93.8,29.14,0.1,1.14,16.6,None
Hyundai Alcazar,2016,3423.6,125.0,13.4,95.7,65.54,2.24,0.29,11.2,None
Mahindra Scorpio-N,2015,2594.8,102.2,15.8,89.9,49.47,23.26,19.03,11.1,P0171
Renault Kwid,2020,2000.0,40.0,95.6,87.8,49.03,-0.03,-0.65,26.8,P2463
BMW X5,2016,2632.4,103.5,84.1,92.9,49.67,-2.83,-2.0,20.7,P0300
Toyota Fortuner,2020,818.2,39.8,20.4,87.8,15.4,-2.96,-1.12,12.4,None
Maruti Suzuki WagonR,2017,1817.7,76.8,28.8,85.1,35.15,3.27,-2.67,28.1,None
Toyota Fortuner,2021,2000.0,40.0,88.8,96.9,63.63,-1.8,0.8,25.4,P2463
Tata Safari,2016,1022.7,40.0,81.3,90.4,19.8,-0.98,-1.85,18.6,P2463
Mercedes-Benz GLC,2022,1046.4,42.5,18.6,95.1,20.03,-2.01,1.32,21.3,None
Skoda Slavia,2019,1171.7,40.7,38.1,136.9,21.66,-1.45,-2.53,24.6,P0117
Toyota Fortuner,2018,2248.5,95.0,21.0,124.8,42.89,2.95,-2.87,12.8,P0117
Hyundai Creta,2021,1451.5,46.9,59.2,90.2,27.04,1.5,2.73,39.2,None
Renault Kiger,2019,3352.3,128.1,23.8,88.4,63.7,2.09,-1.48,15.2,None
Kia Seltos,2018,1290.2,39.6,20.8,94.5,24.69,1.34,2.58,16.5,None
Ford Endeavour,2024,2593.1,106.3,22.2,88.2,48.89,1.73,-2.33,21.8,None
Kia Seltos,2022,1423.2,51.2,50.6,86.4,27.44,-3.49,-0.08,27.4,None
Tata Sierra,2017,1155.6,57.9,96.5,88.7,27.06,0.22,2.78,44.0,P0300
MG Hector,2016,1033.3,38.2,93.9,90.5,20.41,-2.3,0.89,29.6,P2463
Kia Carens,2015,703.7,28.1,14.8,96.7,14.16,0.34,0.39,16.6,None
Honda City,2023,1073.4,41.9,22.3,86.0,20.32,-1.53,-1.12,24.3,None
Mahindra XUV700,2015,3269.4,127.3,42.4,135.9,62.05,1.76,-0.83,23.9,P0117
Tata Punch,2016,3475.1,126.9,26.3,87.6,65.84,-1.48,1.16,22.7,None
Mahindra XUV300,2023,2062.3,71.9,40.9,94.2,39.72,0.77,1.43,29.9,None
Mahindra Thar,2019,2012.7,76.1,26.1,92.7,37.75,1.3,2.92,16.6,None
Tata Tigor,2022,2439.4,90.9,52.5,94.1,46.86,-0.27,-0.93,30.3,None
Mahindra Scorpio-N,2019,1434.9,58.9,83.6,85.6,26.0,-1.4,0.75,34.7,P0300
Tata Tigor,2022,3202.1,113.8,55.4,94.5,60.77,-0.51,-0.7,32.9,None
Hyundai Verna,2019,1351.2,48.8,26.6,88.7,25.97,3.35,-0.73,25.3,None
Toyota Urban Cruiser,2023,1918.9,79.6,26.1,85.8,35.98,-2.24,2.01,18.1,None
Ford EcoSport,2023,1906.7,72.4,18.4,94.4,35.87,1.44,-0.79,16.0,None
Maruti Suzuki Vitara Brezza,2022,625.8,33.7,95.9,92.6,18.83,-0.31,-0.76,35.2,P0300
Mahindra Scorpio-N,2020,2537.0,88.3,47.0,86.1,48.74,2.14,-1.02,36.8,None
Maruti Suzuki Celerio,2016,2657.5,89.9,63.7,88.6,48.27,-3.62,0.42,28.2,P0300
Hyundai Creta,2015,2993.1,104.3,52.9,86.3,56.59,3.86,1.87,29.3,None
Mahindra Scorpio-N,2019,2890.8,113.1,43.9,135.8,55.16,-2.19,-1.37,34.3,P0117
Mahindra XUV300,2020,983.8,46.1,13.4,94.3,18.97,0.61,-2.39,18.8,None
Volkswagen Virtus,2019,1148.1,35.3,31.9,85.3,22.3,-1.8,1.71,26.2,None
Mahindra Scorpio-N,2024,1023.2,38.8,16.0,97.2,18.67,-2.16,-0.67,21.0,None
BMW X5,2020,2150.5,72.5,36.2,94.6,40.62,1.93,1.5,27.7,None
Renault Kiger,2017,3382.4,128.2,19.5,89.9,63.59,25.21,19.04,15.5,P0171
Jeep Compass,2020,3481.9,132.4,11.6,124.6,66.88,3.37,-2.0,18.5,P0117
Tata Nexon,2016,718.7,34.4,54.9,93.7,13.6,24.93,23.45,31.5,P0171
Hyundai Verna,2020,1490.5,58.1,34.7,96.6,28.31,-2.95,2.56,25.9,None
Mahindra Marazzo,2018,2697.1,110.7,23.4,96.9,50.91,-1.81,1.0,23.5,None
Hyundai Tucson,2020,2422.5,91.7,43.9,91.2,46.08,-2.49,2.56,33.5,None
Mahindra XUV300,2023,1083.8,46.4,46.4,94.6,20.09,29.4,21.97,35.7,P0171
Toyota Glanza,2017,2169.0,90.4,23.8,97.8,6.46,2.6,2.99,16.7,P0101
Maruti Suzuki Ertiga,2023,2277.8,107.1,55.5,93.3,50.66,1.12,2.81,24.9,P0300
MG Hector,2021,2628.8,109.0,46.9,95.8,7.7,1.39,-0.14,37.4,P0101
Tata Tigor,2017,2710.6,105.4,38.5,123.5,51.65,-1.47,-2.97,28.8,P0117
Volkswagen Virtus,2020,2281.7,86.7,47.2,89.1,42.98,-0.22,-0.97,38.1,None
Mercedes-Benz GLC,2018,2997.8,122.5,31.1,93.7,56.43,-2.3,-2.59,28.8,None
Hyundai Tucson,2022,3168.7,116.3,39.4,85.0,59.66,3.09,-2.02,34.5,None
Kia Sonet,2018,1622.7,54.2,43.7,86.7,30.72,2.42,1.37,31.9,None
Mahindra Scorpio-N,2018,860.2,25.8,50.8,90.6,2.66,-1.0,1.29,37.1,P0101
Toyota Fortuner,2023,3055.3,130.4,78.3,96.1,64.76,1.19,-1.18,31.4,P0300
Tata Altroz,2015,916.4,37.9,57.0,138.4,16.88,1.23,0.65,41.7,P0117
Tata Tigor,2022,1356.8,47.0,42.0,86.6,26.23,-1.92,-2.74,26.3,None
Maruti Suzuki Celerio,2024,3051.3,111.6,10.2,94.0,58.64,2.5,2.73,18.9,None
Toyota Innova Hycross,2020,1106.2,36.5,16.0,91.3,21.43,3.54,-1.97,21.3,None
Maruti Suzuki Vitara Brezza,2020,826.8,26.6,33.6,90.1,15.13,1.78,-1.2,24.9,None
Ford EcoSport,2023,2598.0,89.0,54.0,91.5,49.26,27.75,15.13,39.2,P0171
Ford Endeavour,2020,2365.4,92.8,14.8,86.3,44.95,-3.4,-1.79,16.5,None
Hyundai Tucson,2016,2739.0,107.2,21.8,92.8,51.89,3.49,2.96,15.1,None
Kia Carens,2020,1057.3,41.0,29.3,96.4,19.77,-0.31,-0.76,28.9,None
Maruti Suzuki Vitara Brezza,2022,3136.3,121.8,59.2,91.3,59.61,-3.13,-1.21,40.3,None
Skoda Kushaq,2022,843.4,25.6,15.2,89.1,16.2,-1.74,2.86,11.1,None
Volkswagen Taigun,2017,2874.8,117.0,25.3,86.8,55.12,2.95,1.86,18.9,None
Toyota Glanza,2023,1689.7,59.3,20.3,91.1,31.85,-2.38,1.93,17.4,None
Volkswagen Virtus,2016,1662.7,60.9,52.1,96.7,31.3,-1.11,1.34,39.2,None
Tata Harrier,2015,2417.1,93.3,45.3,121.1,45.96,-2.6,-2.22,25.8,P0117
Mercedes-Benz GLC,2022,2969.1,106.4,44.6,96.8,55.84,-3.17,2.53,25.1,None
Tata Nexon,2021,3476.6,138.2,26.4,94.4,66.23,26.25,19.3,18.7,P0171
Kia Carens,2021,1562.8,67.4,16.1,85.5,29.19,29.23,18.35,11.2,P0171
Hyundai i20,2020,2009.2,57.2,93.1,87.9,30.78,2.38,-2.14,30.0,P0300
Tata Nexon,2016,2601.1,92.0,25.6,92.2,49.15,1.26,2.42,26.9,None
Maruti Suzuki Celerio,2021,1389.5,45.4,35.2,94.0,26.41,-2.74,1.79,28.9,None
Ford EcoSport,2020,1646.7,55.7,40.5,86.5,31.31,1.41,1.21,29.4,None
Maruti Suzuki Swift,2021,2030.1,83.4,18.5,88.6,37.84,1.24,-0.61,19.9,None
Honda Amaze,2019,1558.3,40.0,88.5,97.6,29.2,-3.8,-2.48,39.4,P2463
Renault Kiger,2018,1710.3,72.2,52.1,97.4,33.03,-2.54,1.84,30.9,None
MG Astor,2023,2070.3,84.6,18.8,96.8,38.99,24.88,19.33,24.0,P0171
Toyota Fortuner,2020,1679.5,61.5,48.7,89.8,32.61,2.56,-1.84,33.5,None
Hyundai Verna,2023,2907.7,110.1,25.4,89.8,55.36,-3.24,-2.28,24.8,None
Hyundai i20,2021,967.7,32.4,48.9,87.3,17.61,-3.15,0.29,33.1,None
Toyota Fortuner,2019,1484.0,56.6,22.0,92.4,28.31,-2.03,0.17,20.1,None
Hyundai i20,2020,2913.6,114.6,24.2,88.3,54.89,3.95,0.97,15.0,None
Renault Kiger,2021,1731.0,60.1,15.9,94.1,32.28,-2.78,-1.22,16.0,None
Mahindra Scorpio-N,2019,2000.0,40.0,93.6,92.0,49.48,-3.08,1.72,20.5,P2463
Tata Tigor,2021,2712.5,97.2,56.5,95.6,8.02,3.91,-2.15,33.3,P0101
Ford EcoSport,2023,749.7,23.6,12.2,93.5,14.87,24.16,21.14,20.4,P0171
Volkswagen Taigun,2022,2240.3,80.6,27.4,95.4,41.84,-1.59,-0.77,27.5,None
Tata Sierra,2018,844.6,39.4,34.3,88.1,2.43,3.4,0.83,25.3,P0101
Kia Carens,2022,2000.0,40.0,86.0,85.9,40.49,-1.79,0.04,23.5,P2463
Ford Endeavour,2022,3208.7,117.8,45.7,87.6,60.54,-3.22,-2.87,36.6,None
Volkswagen Taigun,2019,1500.9,40.0,99.1,85.4,28.22,-3.75,-1.76,38.2,P2463
Maruti Suzuki Baleno,2023,2207.4,76.1,42.2,89.2,42.3,-1.08,-0.39,29.9,None
Hyundai Alcazar,2015,1809.9,61.6,51.4,120.8,34.55,-1.39,-0.63,35.1,P0117
Mahindra Scorpio-N,2019,1734.1,71.5,11.5,90.4,33.12,-1.32,2.13,10.1,None
Hyundai Tucson,2024,1593.0,65.6,57.5,91.1,29.8,-1.72,-0.41,34.7,None
Renault Kwid,2023,2747.1,96.6,26.9,95.9,51.96,-3.35,-2.13,24.8,None
Hyundai Verna,2023,3021.9,118.9,43.9,90.7,57.61,-0.43,0.49,30.6,None
Maruti Suzuki Baleno,2018,2711.5,95.7,21.7,91.8,51.82,-2.13,-0.24,14.9,None
Mahindra XUV300,2016,2378.7,96.6,59.4,90.9,44.83,-2.69,-0.99,36.2,None
Renault Kiger,2024,1529.4,59.5,25.6,96.8,4.57,-0.54,2.54,24.6,P0101
Mahindra Thar,2016,2004.1,89.2,84.1,95.5,45.77,-3.53,-2.05,25.9,P0300
Mahindra XUV300,2023,2762.5,96.9,47.1,90.0,52.56,-0.09,0.89,28.3,None
Hyundai Creta,2016,1727.5,63.6,16.2,85.3,33.52,25.83,23.25,13.9,P0171
Honda Amaze,2015,3087.3,124.1,10.2,91.2,58.65,-2.27,2.27,16.1,None
Kia Sonet,2018,3200.3,123.5,93.0,96.8,63.01,2.36,2.41,33.2,P0300
Mahindra XUV700,2015,2099.3,85.7,26.9,95.7,40.4,20.79,21.66,19.3,P0171
Maruti Suzuki Vitara Brezza,2018,3126.4,114.5,49.1,91.8,58.6,-3.27,-1.03,36.6,None
Tata Harrier,2016,1528.1,52.5,49.2,91.8,29.46,-0.18,-1.26,26.7,None
Toyota Glanza,2018,1967.2,76.8,18.2,88.0,37.82,19.27,20.36,12.7,P0171
Hyundai Verna,2020,3095.8,120.3,52.7,97.1,58.99,22.39,21.29,40.9,P0171
Maruti Suzuki Vitara Brezza,2016,1152.7,40.1,35.5,86.9,3.45,1.33,2.54,29.0,P0101
Volkswagen Virtus,2019,2676.3,96.6,10.3,117.6,50.99,2.36,-0.1,15.9,P0117
Mahindra Bolero,2024,1169.2,34.9,13.0,96.0,21.5,-1.91,1.87,8.7,None
Toyota Innova Hycross,2021,1345.7,49.1,107.2,94.1,25.69,-0.76,-2.22,39.6,P0300
Honda Amaze,2022,2000.0,40.0,84.4,94.2,54.12,-0.85,-0.3,34.5,P2463
Maruti Suzuki Celerio,2018,2304.0,84.6,30.3,89.5,43.96,-2.13,0.4,18.1,None
Honda City,2020,2909.6,109.1,23.7,92.5,55.86,-0.19,0.23,21.7,None
Maruti Suzuki Celerio,2016,1402.2,58.3,39.1,90.8,27.11,0.41,1.76,32.5,None
Honda Amaze,2022,1621.9,51.8,27.0,88.0,30.18,3.73,1.59,15.7,None
Mahindra Bolero,2022,2058.4,73.3,19.7,91.0,39.72,0.05,-0.25,13.9,None
Tata Altroz,2016,1136.6,41.7,10.3,85.4,21.36,1.77,2.85,18.2,None
Tata Tiago,2015,910.4,26.5,14.2,86.5,17.85,3.83,-2.31,18.4,None
Mahindra XUV700,2024,3266.3,125.7,53.0,97.6,61.74,18.09,24.19,28.8,P0171
Tata Sierra,2020,2535.5,91.5,15.6,97.1,47.42,-0.88,-2.67,10.0,None
Skoda Slavia,2022,3275.4,122.6,12.3,96.5,61.74,-3.36,-2.9,13.9,None
Honda Amaze,2023,1488.7,56.1,54.7,92.0,27.68,0.07,0.89,40.8,None
Tata Tiago,2018,2137.0,72.7,57.6,92.1,40.15,25.05,19.45,41.8,P0171
Hyundai Venue,2018,1934.3,81.7,51.6,87.0,36.55,2.47,-2.41,32.7,None
BMW X5,2019,1801.0,63.7,59.8,93.5,34.32,2.18,1.73,33.2,None
Honda City,2016,1633.3,60.8,38.3,95.7,30.65,-2.06,-2.71,28.3,None
Mahindra XUV700,2015,3094.0,110.0,28.6,89.7,59.03,0.09,-0.3,22.1,None
Tata Altroz,2023,858.5,38.3,13.6,120.1,15.8,-1.96,-2.89,20.4,P0117
Mercedes-Benz GLC,2019,2000.0,40.0,90.1,97.2,62.4,0.17,1.2,35.2,P2463
BMW X5,2020,1339.3,51.6,43.2,94.5,3.84,2.11,1.79,27.8,P0101
Tata Tigor,2018,2096.0,84.0,55.7,95.4,39.18,-3.17,-2.92,41.9,None
Toyota Glanza,2016,1038.4,35.6,12.6,86.1,20.24,3.08,-2.62,12.2,None
Nissan Magnite,2016,1573.0,56.0,30.1,97.0,29.09,28.86,24.0,22.4,P0171
Mahindra XUV300,2023,2565.4,87.8,12.1,130.2,49.53,-1.69,2.85,18.7,P0117
MG Hector,2024,1929.0,80.8,33.2,90.4,36.21,21.79,23.71,19.6,P0171
Skoda Kushaq,2018,1796.5,75.9,35.3,86.2,33.99,0.18,0.38,22.7,None
Tata Punch,2024,2927.5,115.1,19.8,90.4,55.84,1.11,-2.09,17.2,None
Honda City,2017,1722.1,93.1,101.2,85.9,42.06,-0.95,2.98,31.8,P0300
Audi Q5,2015,3375.7,127.1,22.8,87.6,64.9,23.72,18.07,24.9,P0171
Hyundai Venue,2024,1275.5,56.4,62.0,92.2,24.77,3.86,2.81,17.1,P0300
Tata Tiago,2024,3293.5,118.1,59.3,92.5,63.27,-0.23,0.9,44.5,None
Mahindra Bolero,2023,1381.4,67.0,56.8,96.6,32.52,-3.87,1.08,24.7,P0300
MG Astor,2020,1950.9,67.6,46.0,94.6,37.4,-2.84,0.04,34.3,None
Maruti Suzuki Vitara Brezza,2018,2858.5,101.3,33.7,85.6,54.17,2.96,-0.36,27.8,None
Toyota Innova Hycross,2022,3444.9,130.4,32.3,89.6,65.1,-0.61,2.91,30.5,None
Toyota Glanza,2020,2000.0,40.0,86.9,95.0,59.85,-0.96,1.17,22.8,P2463
Nissan Magnite,2023,2000.0,40.0,92.4,87.2,38.87,-0.28,-0.29,33.6,P2463
Maruti Suzuki Ertiga,2015,1710.6,56.3,31.3,91.5,32.11,-0.19,2.99,20.5,None
MG Astor,2016,1187.6,45.9,15.7,96.5,3.61,-2.63,-1.2,14.2,P0101
Mercedes-Benz GLC,2018,3256.5,121.1,36.1,91.3,62.14,-0.18,-1.74,21.5,None
Ford Endeavour,2019,3416.4,119.9,29.8,88.2,64.54,-3.43,-1.26,28.1,None
Honda Amaze,2015,1301.8,43.7,39.7,97.6,24.53,3.14,-1.16,34.5,None
Kia Seltos,2017,3227.8,130.8,28.7,91.5,60.83,2.56,-2.92,18.1,None
Mercedes-Benz GLC,2018,1924.7,77.9,80.5,93.2,42.6,-0.49,0.24,21.2,P0300
Mahindra Scorpio-N,2017,1097.5,49.6,12.7,92.7,20.42,3.25,-2.51,13.9,None
Honda City,2024,3819.6,125.2,98.9,89.5,64.03,-3.01,-0.62,33.4,P0300
Skoda Kushaq,2019,1755.0,71.8,55.4,93.7,33.72,-1.52,-1.55,33.2,None
Maruti Suzuki WagonR,2018,1567.8,60.9,52.2,86.4,4.7,-3.11,-0.17,31.4,P0101
Maruti Suzuki Ertiga,2019,915.0,32.3,51.4,95.2,17.85,2.32,-2.0,34.6,None
BMW X5,2016,823.2,25.1,25.5,133.8,16.44,-0.8,0.11,25.5,P0117
Tata Altroz,2017,2380.8,80.7,27.9,91.0,44.68,-1.46,0.8,27.8,None
Toyota Glanza,2016,3096.5,124.1,48.1,88.8,9.16,0.41,2.72,32.1,P0101
Tata Harrier,2015,3025.7,119.7,35.0,91.1,57.4,1.08,-1.76,20.4,None
Tata Altroz,2020,3045.5,106.2,41.7,86.8,9.27,-3.01,-1.16,33.4,P0101
Tata Punch,2017,2965.9,122.5,27.8,86.9,55.69,1.61,-0.31,20.1,None
Ford EcoSport,2018,2542.7,97.4,58.7,87.8,47.77,-1.71,0.22,41.0,None
Kia Sonet,2023,2965.5,105.4,44.8,95.1,55.56,0.58,1.23,31.6,None
Tata Tiago,2021,3202.6,120.5,98.5,94.4,60.26,-0.75,1.2,32.9,P0300
Skoda Slavia,2020,1282.2,49.2,16.6,138.4,25.0,-0.35,-2.61,14.1,P0117
Maruti Suzuki Vitara Brezza,2020,934.0,42.8,22.5,136.2,18.04,-1.47,2.22,24.5,P0117
Hyundai Venue,2023,1257.2,55.0,26.5,93.9,23.15,0.78,-2.83,19.4,None
Hyundai Alcazar,2015,1446.3,55.2,76.3,93.3,25.16,2.53,-0.09,18.6,P0300
Toyota Innova Hycross,2015,2575.9,95.8,56.9,88.7,48.96,0.23,1.8,38.9,None
Toyota Urban Cruiser,2021,1777.8,74.9,36.1,96.7,34.55,-3.59,-0.65,23.0,None
Kia Seltos,2024,2801.1,101.6,43.6,90.2,52.79,0.21,2.91,33.6,None
Maruti Suzuki Swift,2024,3498.7,137.1,47.6,86.2,66.82,1.18,1.37,37.4,None
Kia Carens,2017,1042.7,34.0,83.0,96.5,19.73,-1.61,2.63,20.8,P2463
Maruti Suzuki Alto,2022,2707.6,103.8,58.9,120.0,51.78,0.6,0.92,34.6,P0117
Tata Safari,2024,3343.7,118.2,54.0,90.5,62.84,-1.49,1.17,31.6,None
Jeep Compass,2017,1813.9,69.9,25.4,85.2,34.68,23.99,22.35,17.6,P0171
